Module                  Size  Used by
snd_rawmidi            57344  1 snd_seq_midi
processor_thermal_device_pci    16384  0
libarc4                12288  1 mac80211
videobuf2_vmalloc      20480  1 uvcvideo
drm_buddy              20480  2 xe,i915
btbcm                  24576  1 btusb
processor_thermal_device    20480  1 processor_thermal_device_pci
uvc                    12288  1 uvcvideo
snd_seq               114688  9 snd_seq_midi,snd_seq_midi_event,snd_seq_dummy
ttm                   110592  3 drm_ttm_helper,xe,i915
btmtk                  12288  1 btusb
processor_thermal_wt_hint    16384  2 processor_thermal_device_pci,processor_thermal_device
videobuf2_memops       16384  1 videobuf2_vmalloc
processor_thermal_rfim    32768  1 processor_thermal_device
snd_seq_device         16384  3 snd_seq,snd_seq_midi,snd_rawmidi
videobuf2_v4l2         36864  1 uvcvideo
drm_display_helper    237568  2 xe,i915
iwlwifi               598016  1 iwlmvm
bluetooth            1028096  34 btrtl,btmtk,btintel,btbcm,bnep,btusb,rfcomm
processor_thermal_rapl    16384  1 processor_thermal_device
snd_timer              49152  3 snd_seq,snd_hrtimer,snd_pcm
videodev              352256  2 videobuf2_v4l2,uvcvideo
cec                    94208  3 drm_display_helper,xe,i915
intel_rapl_common      40960  2 intel_rapl_msr,processor_thermal_rapl
mei_me                 53248  2
snd                   143360  26 snd_ctl_led,snd_hda_codec_generic,snd_seq,snd_hda_codec_conexant,snd_seq_device,snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_hda_codec,snd_sof,snd_timer,snd_soc_hdac_hdmi,snd_compress,snd_soc_core,snd_pcm,snd_rawmidi
videobuf2_common       81920  4 videobuf2_vmalloc,videobuf2_v4l2,uvcvideo,videobuf2_memops
i2c_i801               36864  0
ecdh_generic           16384  2 bluetooth
spi_intel_pci          12288  0
rc_core                73728  1 cec
processor_thermal_wt_req    12288  1 processor_thermal_device
cfg80211             1323008  3 iwlmvm,iwlwifi,mac80211
intel_pmc_core        118784  0
spi_intel              32768  1 spi_intel_pci
mei                   172032  5 mei_hdcp,mei_pxp,mei_me
soundcore              16384  2 snd_ctl_led,snd
i2c_smbus              16384  1 i2c_i801
mc                     81920  4 videodev,videobuf2_v4l2,uvcvideo,videobuf2_common
ecc                    45056  1 ecdh_generic
processor_thermal_power_floor    12288  2 processor_thermal_device_pci,processor_thermal_device
i2c_algo_bit           16384  2 xe,i915
intel_vsec             20480  1 intel_pmc_core
igen6_edac             24576  0
processor_thermal_mbox    12288  4 processor_thermal_power_floor,processor_thermal_wt_req,processor_thermal_rfim,processor_thermal_wt_hint
pmt_telemetry          16384  1 intel_pmc_core
input_leds             12288  0
int3403_thermal        16384  0
joydev                 32768  0
int3400_thermal        24576  0
pmt_class              12288  1 pmt_telemetry
acpi_thermal_rel       20480  1 int3400_thermal
acpi_pad              184320  0
int340x_thermal_zone    16384  2 int3403_thermal,processor_thermal_device
mac_hid                12288  0
serio_raw              20480  0
sch_fq_codel           24576  1
msr                    12288  0
parport_pc             53248  0
ppdev                  24576  0
lp                     28672  0
parport                73728  3 parport_pc,lp,ppdev
efi_pstore             12288  0
nfnetlink              20480  12 nfnetlink_queue,nft_compat,nfnetlink_acct,nf_conntrack_netlink,nf_tables
dmi_sysfs              24576  0
ip_tables              32768  0
x_tables               65536  12 xt_conntrack,xt_statistic,nft_compat,xt_tcpudp,xt_addrtype,xt_nat,xt_comment,ipt_REJECT,xt_nfacct,ip_tables,xt_MASQUERADE,xt_mark
autofs4                57344  4
spi_pxa2xx_platform    36864  0
hid_multitouch         36864  0
dw_dmac                12288  0
hid_generic            12288  0
dw_dmac_core           36864  1 dw_dmac
8250_dw                20480  0
nvme                   61440  2
intel_lpss_pci         24576  2
nvme_core             208896  3 nvme
i2c_hid_acpi           12288  0
intel_lpss             12288  1 intel_lpss_pci
xhci_pci               24576  0
video                  73728  2 xe,i915
i2c_hid                40960  1 i2c_hid_acpi
crc32_pclmul           12288  0
nvme_auth              28672  1 nvme_core
idma64                 20480  0
xhci_pci_renesas       20480  1 xhci_pci
wmi                    28672  3 video,huawei_wmi,wmi_bmof
hid                   180224  4 i2c_hid,usbhid,hid_multitouch,hid_generic
pinctrl_tigerlake      28672  1
